typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,commodity_name,hs_code,query_year
C,A,20200101,2020,52,2020,842,,,M,,156,,,0,,,H5,HS,True,811292,,,,C00,,0,0,,8,,35970.0,False,8,,35970.0,False,35970.0,False,0.0,False,12636598.0,0.0,12636598.0,0,True,False,Gallium,811292,2020
C,A,20200101,2020,52,2020,842,,,X,,156,,,0,,,H5,HS,True,811292,,,,C00,,0,0,,8,,3241.0,False,8,,3241.0,False,3241.0,False,0.0,False,0.0,714021.0,714021.0,0,True,False,Gallium,811292,2020
C,A,20210101,2021,52,2021,842,,,M,,156,,,0,,,H5,HS,True,811292,,,,C00,,0,0,,8,,58335.0,False,8,,58335.0,False,58334.0,False,0.0,False,10425894.0,0.0,10425894.0,0,True,False,Gallium,811292,2021
C,A,20210101,2021,52,2021,842,,,X,,156,,,0,,,H5,HS,True,811292,,,,C00,,0,0,,8,,10396.0,False,8,,10396.0,False,10396.0,False,0.0,False,0.0,2761779.0,2761779.0,0,True,False,Gallium,811292,2021
C,A,20220101,2022,52,2022,842,,,M,,156,,,0,,,H6,HS,True,811292,,,,C00,,0,0,,8,,81472.0,False,8,,81472.0,False,81469.0,False,0.0,False,22430417.0,22149511.0,22430417.0,0,True,False,Gallium,811292,2022
C,A,20220101,2022,52,2022,842,,,X,,156,,,0,,,H6,HS,True,811292,,,,C00,,0,0,,8,,4220.0,False,8,,4220.0,False,4220.0,False,0.0,False,,1198285.0,1198285.0,0,True,False,Gallium,811292,2022
C,A,20230101,2023,52,2023,842,,,M,,156,,,0,,,H6,HS,True,811292,,,,C00,,0,0,,8,,225397.0,False,8,,225397.0,False,225165.0,False,0.0,False,32791847.0,32291934.0,32791847.0,0,True,False,Gallium,811292,2023
C,A,20230101,2023,52,2023,842,,,X,,156,,,0,,,H6,HS,True,811292,,,,C00,,0,0,,8,,3541.0,False,8,,3541.0,False,3541.0,False,0.0,False,,1198411.0,1198411.0,0,True,False,Gallium,811292,2023
C,A,20240101,2024,52,2024,842,,,M,,156,,,0,,,H6,HS,True,811292,,,,C00,,0,0,,8,,239849.0,False,8,,239849.0,False,239849.0,False,0.0,False,53325054.0,52685160.0,53325054.0,0,True,False,Gallium,811292,2024
C,A,20240101,2024,52,2024,842,,,X,,156,,,0,,,H6,HS,True,811292,,,,C00,,0,0,,8,,4560.0,False,8,,4560.0,False,4560.0,False,0.0,False,,1309539.0,1309539.0,0,True,False,Gallium,811292,2024
C,A,20200101,2020,52,2020,156,,,M,,0,,,0,,,H5,HS,True,811292,,,,C00,,0,0,,8,,323328.167,True,8,,323119.0,False,323328.167,True,0.0,False,45560639.0,0.0,45560639.0,6,False,True,Gallium,811292,2020
