typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,commodity_name,hs_code,query_year
C,A,20200101,2020,52,2020,842,,,M,,156,,,0,,,H5,HS,True,2846,,,,C00,,0,0,,8,,4322339.354,True,-1,,0.0,False,4322339.354,True,0.0,False,45649703.0,0.0,45649703.0,6,False,True,Light REE,2846,2020
C,A,20200101,2020,52,2020,842,,,X,,156,,,0,,,H5,HS,True,2846,,,,C00,,0,0,,8,,59555508.0,False,8,,59555508.0,False,59555508.0,False,0.0,False,0.0,98931639.0,98931639.0,0,False,True,Light REE,2846,2020
C,A,20210101,2021,52,2021,842,,,M,,156,,,0,,,H5,HS,True,2846,,,,C00,,0,0,,8,,4192847.614,True,-1,,0.0,False,4192847.614,True,0.0,False,73953303.0,0.0,73953303.0,6,False,True,Light REE,2846,2021
C,A,20210101,2021,52,2021,842,,,X,,156,,,0,,,H5,HS,True,2846,,,,C00,,0,0,,8,,75722900.0,False,8,,75722900.0,False,75722900.0,False,0.0,False,0.0,279461349.0,279461349.0,0,False,True,Light REE,2846,2021
C,A,20220101,2022,52,2022,842,,,M,,156,,,0,,,H6,HS,True,2846,,,,C00,,0,0,,8,,12125016.0,False,8,,12125016.0,False,12125016.0,False,0.0,False,121694423.0,118740246.0,121694423.0,0,False,True,Light REE,2846,2022
C,A,20220101,2022,52,2022,842,,,X,,156,,,0,,,H6,HS,True,2846,,,,C00,,0,0,,8,,74402569.0,False,8,,74402569.0,False,74402569.0,False,0.0,False,,516891786.0,516891786.0,0,False,True,Light REE,2846,2022
C,A,20230101,2023,52,2023,842,,,M,,156,,,0,,,H6,HS,True,2846,,,,C00,,0,0,,8,,10997647.0,False,8,,10997647.0,False,10997647.0,False,0.0,False,111168490.0,109480992.0,111168490.0,0,False,True,Light REE,2846,2023
C,A,20230101,2023,52,2023,842,,,X,,156,,,0,,,H6,HS,True,2846,,,,C00,,0,0,,8,,32247094.0,False,8,,32247094.0,False,32247094.0,False,0.0,False,,318534259.0,318534259.0,0,False,True,Light REE,2846,2023
C,A,20240101,2024,52,2024,842,,,M,,156,,,0,,,H6,HS,True,2846,,,,C00,,0,0,,8,,10248721.0,False,8,,10248721.0,False,10248721.0,False,0.0,False,116100303.0,113933268.0,116100303.0,0,False,True,Light REE,2846,2024
C,A,20240101,2024,52,2024,842,,,X,,156,,,0,,,H6,HS,True,2846,,,,C00,,0,0,,8,,59156158.0,False,8,,59156158.0,False,59156158.0,False,0.0,False,,191140826.0,191140826.0,0,False,True,Light REE,2846,2024
