typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,commodity_name,hs_code,query_year
C,A,20200101,2020,52,2020,842,,,M,,156,,,0,,,H5,HS,True,7502,,,,C00,,0,0,,8,,19928.0,False,8,,19928.0,False,19928.0,False,0.0,False,103205.0,0.0,103205.0,0,False,True,Nickel,7502,2020
C,A,20200101,2020,52,2020,842,,,X,,156,,,0,,,H5,HS,True,7502,,,,C00,,0,0,,8,,393574.0,False,8,,393574.0,False,393574.0,False,0.0,False,0.0,12283417.0,12283417.0,0,False,True,Nickel,7502,2020
C,A,20210101,2021,52,2021,842,,,M,,156,,,0,,,H5,HS,True,7502,,,,C00,,0,0,,8,,25877.0,False,8,,25877.0,False,25877.0,False,0.0,False,196034.0,0.0,196034.0,0,False,True,Nickel,7502,2021
C,A,20210101,2021,52,2021,842,,,X,,156,,,0,,,H5,HS,True,7502,,,,C00,,0,0,,8,,551576.0,False,8,,551576.0,False,551576.0,False,0.0,False,0.0,18977252.0,18977252.0,0,False,True,Nickel,7502,2021
C,A,20220101,2022,52,2022,842,,,M,,156,,,0,,,H6,HS,True,7502,,,,C00,,0,0,,8,,49957.0,False,8,,49957.0,False,49957.0,False,0.0,False,362248.0,317482.0,362248.0,0,False,True,Nickel,7502,2022
C,A,20220101,2022,52,2022,842,,,X,,156,,,0,,,H6,HS,True,7502,,,,C00,,0,0,,8,,556631.0,False,8,,556631.0,False,556631.0,False,0.0,False,,18152290.0,18152290.0,0,False,True,Nickel,7502,2022
C,A,20230101,2023,52,2023,842,,,M,,156,,,0,,,H6,HS,True,7502,,,,C00,,0,0,,8,,71918.0,False,8,,71918.0,False,71918.0,False,0.0,False,656383.0,618594.0,656383.0,0,False,True,Nickel,7502,2023
C,A,20230101,2023,52,2023,842,,,X,,156,,,0,,,H6,HS,True,7502,,,,C00,,0,0,,8,,393776.0,False,8,,393776.0,False,393776.0,False,0.0,False,,20282117.0,20282117.0,0,False,True,Nickel,7502,2023
C,A,20240101,2024,52,2024,842,,,M,,156,,,0,,,H6,HS,True,7502,,,,C00,,0,0,,8,,46691.0,False,8,,46691.0,False,46691.0,False,0.0,False,524328.0,480015.0,524328.0,0,False,True,Nickel,7502,2024
C,A,20240101,2024,52,2024,842,,,X,,156,,,0,,,H6,HS,True,7502,,,,C00,,0,0,,8,,333237.0,False,8,,333237.0,False,333237.0,False,0.0,False,,15384294.0,15384294.0,0,False,True,Nickel,7502,2024
C,A,20200101,2020,52,2020,156,,,M,,0,,,0,,,H5,HS,True,7502,,,,C00,,0,0,,8,,131677845.616,True,-1,,0.0,False,131677845.616,True,0.0,False,1845145659.0,0.0,1845145659.0,6,False,True,Nickel,7502,2020
C,A,20200101,2020,52,2020,156,,,X,,0,,,0,,,H5,HS,True,7502,,,,C00,,0,0,,8,,20102573.0,False,8,,20102573.0,False,20102573.0,False,0.0,False,0.0,277318857.0,277318857.0,0,False,True,Nickel,7502,2020
C,A,20210101,2021,52,2021,156,,,M,,0,,,0,,,H5,HS,True,7502,,,,C00,,0,0,,8,,261216208.926,True,-1,,0.0,False,261216208.926,True,0.0,False,4909439445.0,,4909439445.0,6,False,True,Nickel,7502,2021
C,A,20210101,2021,52,2021,156,,,X,,0,,,0,,,H5,HS,True,7502,,,,C00,,0,0,,8,,5475804.0,False,8,,5475804.0,False,5475804.0,False,0.0,False,,102820698.0,102820698.0,0,False,True,Nickel,7502,2021
C,A,20220101,2022,52,2022,156,,,M,,0,,,0,,,H6,HS,True,7502,,,,C00,,0,0,,8,,159765050.914,True,-1,,0.0,False,159765050.914,True,0.0,False,4015183136.0,,4015183136.0,6,False,True,Nickel,7502,2022
C,A,20220101,2022,52,2022,156,,,X,,0,,,0,,,H6,HS,True,7502,,,,C00,,0,0,,8,,22565899.0,False,8,,22565899.0,False,22565899.0,False,0.0,False,,617584473.0,617584473.0,0,False,True,Nickel,7502,2022
C,A,20230101,2023,52,2023,156,,,M,,0,,,0,,,H6,HS,True,7502,,,,C00,,0,0,,8,,94406300.383,True,-1,,0.0,False,94406300.383,True,0.0,False,2186111670.0,,2186111670.0,6,False,True,Nickel,7502,2023
