Mineral_Commodity,PCH_2022_2023,CAGR_2019_2023
Aluminum (bauxite),-6,-2
Antimony (metal),-9,17
"Arsenic, metal (Rotterdam)",20,19
Barite,3,-4
Beryllium,112,23
Bismuth,5,7
"Cerium, oxide 99.5% minimum",0,-16
"Chromium, chromite ore",6,14
"Cobalt, U.S. spot cathode",-45,0
"Dysprosium, oxide 99.5% minimum",-15,8
"Europium, oxide 99.99% minimum",-10,-6
"Fluorspar, acid grade",12,9
"Fluorspar, metallurgical grade",61,5
"Gallium, high-purity, refined",-20,-6
Germanium,8,3
"Graphite (natural), flake",0,-3
Indium,-5,8
Iridium,0,33
"Lanthanum, oxide 99.5% minimum",0,-16
"Lithium, battery grade",-32,40
Magnesium,-34,19
Manganese,-16,-3
"Neodymium, oxide 99.5% minimum",-40,15
"Nickel, LME",-15,12
"Niobium, ferroniobium",0,2
Palladium,-30,-1
Platinum,3,4
Rhodium,-51,18
Ruthenium,-19,16
"Scandium, ingot",2,3
Tantalum,-11,4
Tellurium,14,4
"Terbium, oxide 99.99% miminum",-37,27
Tin,-16,11
"Titanium, sponge",8,3
"Tungsten, concentrate (Rotterdam)",-5,7
"Vanadium, vanadium pentoxide",0,-7
"Yttrium, oxide",-33,28
"Zinc, LME",-24,1
Zirconium,-7,-5
