Mineral_Commodity,Pch_Critical_Minerals_2019_2023,Pch_Other_Minerals_2019_2023
Thallium,,-80
Asbestos,,-67
Strontium,,-65
Tantalum,-60,
Diamond (stones),,-59
Rhenium,,-56
Bauxite,-51, 
Yttrium,-50,
Cobalt,-49,
Pumice and pumicite,,-45
Alumina,,-39
Titanium metal,-38,
Abrasives (aluminum oxide),0,-34
Chromium,-31,
Garnet (industrial),,-29
Rare earths,-25,
Iodine,,-25
Aluminum, ,-20
Iron oxide pigments,,-19
Bismuth,-17,
Antimony,-16,
Soda ash,,-15
Arsenic,-14,
Mica,,-14
Talc and pyrophyllite,,-13
Nickel,-12,
Salt,,-12
Gemstones,,-11
Beryllium,-10,
Niobium (columbium),-10,
Tin,-10,
Manganese,-8,
Fluorspar,-7,
Iron and steel,,-7
Phosphate rock,,-6
Palladium,-4,
Potash,,-4
Magnesium metal,-4,
Abrasives (silicon carbide),,-3
Lead,,-2
Sand and gravel (construction),,-2
Nitrogen (fixed)--ammonia,,-1
Copper,,-1
Clays,,0
Iron and steel slag,,0
Peat,,0
Vanadium,0,
Lime,,1
Sulfur,,2
Magnesium compounds,,3
Zinc,3,
Iron and steel scrap,,4
Stone (crushed),,5
Titanium dioxide,,7
Gypsum,,7
"Diamond (bort, grit, dust, and powder)",,8
Perlite,,9
Silver,,9
Abrasives (metalic),,9
Diatomite,,10
Zeolites (natural),,10
Sand and gravel (industrial),,17
Cement,,18
Helium,,18
Gallium,28,
Feldspar,,31
Stone (dimension),,33
Molybdenum,,35
Titanium mineral concentrates,,43
Gold,,66
Graphite (natural),72,
Platinum,89,
Indium,216,
