Source,Year,State,State_Notes,Value _millions_prelim_2023,State_Rank_prelim_2023,State_percent_total_prelim,Principal_commodities
MCS2024,2023_estimated,Alabama,,2010,18,1.92,"Cement, lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,Alaska,,4100,7,3.91,"Gold, lead, sand and gravel (construction), silver, zinc."
MCS2024,2023_estimated,Arizona,,9500,2,9.07,"Cement, copper, molybdenum mineral concentrates, sand and gravel (construction), stone (crushed)."
MCS2024,2023_estimated,Arkansas,,1180,30,1.12,"Bromine, cement, sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,California,"California, Florida, and Georgia also produce significant quantities of titanium mineral concentrates and zirconium mineral concentrates. Breakdown by State is not available to avoid disclosure of company proprietary data.",5080,5,4.85,"Boron minerals, cement, rare earths, sand and gravel (construction), stone (crushed)."
MCS2024,2023_estimated,Colorado,,2220,15,2.12,"Cement, gold, molybdenum mineral concentrates, sand and gravel (construction), stone (crushed)."
MCS2024,2023_estimated,Connecticut,,264,43,0.25,"Sand and gravel (construction), stone (crushed), stone (dimension)."
MCS2024,2023_estimated,Delaware,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",17,50,0.02,"Magnesium compounds, sand and gravel (construction), stone (crushed)."
MCS2024,2023_estimated,Florida,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed."" California, Florida, and Georgia also produce significant quantities of titanium mineral concentrates and zirconium mineral concentrates. Breakdown by State is not available to avoid disclosure of company proprietary data.",2900,6,2.77,"Cement, clay (attapulgite and kaolin), phosphate rock, sand and gravel (construction), stone (crushed)."
MCS2024,2023_estimated,Georgia,"California, Florida, and Georgia also produce significant quantities of titanium mineral concentrates and zirconium mineral concentrates. Breakdown by State is not available to avoid disclosure of company proprietary data.",2620,12,2.5,"Cement, clay (common clay, kaolin, montmorillonite), sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,Hawaii,,154,46,0.15,"Sand and gravel (construction), stone (crushed)."
MCS2024,2023_estimated,Idaho,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",482,32,0.46,"Lead, phosphate rock, sand and gravel (construction), silver, stone (crushed)."
MCS2024,2023_estimated,Illinois,,1770,20,1.69,"Cement (portland), magnesium compounds, sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,Indiana,,1440,25,1.37,"Cement, lime, sand and gravel (construction), stone (crushed), stone (dimension)."
MCS2024,2023_estimated,Iowa,,879,33,0.84,"Cement (portland), lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,Kansas,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",915,26,0.87,"Cement, helium, salt, sand and gravel (construction), stone (crushed)."
MCS2024,2023_estimated,Kentucky,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",919,27,0.88,"Cement, clay (common clay), lime, sand and gravel (construction), stone (crushed)."
MCS2024,2023_estimated,Louisiana,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",1070,31,1.02,"Clay (common clay), lime, salt, sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,Maine,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",116,47,0.11,"Cement, peat, sand and gravel (construction), stone (crushed), stone (dimension)."
MCS2024,2023_estimated,Maryland,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",431,35,0.41,"Cement, sand and gravel (construction), stone (crushed), stone (dimension)."
MCS2024,2023_estimated,Massachusetts,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",329,41,0.31,"Clay (common clay), lime, sand and gravel (construction), stone (crushed), stone (dimension)."
MCS2024,2023_estimated,Michigan,,4060,8,3.87,"Cement, iron ore, nickel sulfide concentrates, sand and gravel (construction), stone (crushed)."
MCS2024,2023_estimated,Minnesota,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",6820,4,6.51,"Iron ore, lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,Mississippi,,338,42,0.32,"Clay (ball clay, bentonite, common clay, montmorillonite), sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,Missouri,,3160,10,3.01,"Cement, lead, lime, sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,Montana,,1290,28,1.23,"Copper, molybdenum mineral concentrates, palladium, platinum, sand and gravel (construction)."
MCS2024,2023_estimated,Nebraska,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",260,40,0.25,"Cement (portland), lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,Nevada,,8880,3,8.47,"Copper, gold, lime, sand and gravel (construction), stone (crushed)."
MCS2024,2023_estimated,New Hampshire,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",203,44,0.19,"Sand and gravel (construction), stone (crushed), stone (dimension)."
MCS2024,2023_estimated,New Jersey,,515,38,0.49,"Sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,New Mexico,,1450,24,1.38,"Cement, copper, potash, sand and gravel (construction), stone (crushed)."
MCS2024,2023_estimated,New York,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",1750,16,1.67,"Cement, salt, sand and gravel (construction), stone (crushed), zinc."
MCS2024,2023_estimated,North Carolina,,2500,13,2.39,"Phosphate rock, quartz (high-purity), sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,North Dakota,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",78,49,0.07,"Lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,Ohio,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",1580,17,1.51,"Cement, lime, salt, sand and gravel (construction), stone (crushed)."
MCS2024,2023_estimated,Oklahoma,,1210,29,1.15,"Cement, iodine, sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,Oregon,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",527,36,0.5,"Cement (portland), diatomite, perlite, sand and gravel (construction), stone (crushed)."
MCS2024,2023_estimated,Pennsylvania,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",2220,14,2.12,"Cement, lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,Rhode Island,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",109,48,0.1,"Sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,South Carolina,,1680,21,1.6,"Cement, gold, sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,South Dakota,,549,37,0.52,"Cement (portland), gold, lime, sand and gravel (construction), stone (crushed)."
MCS2024,2023_estimated,Tennessee,,1950,19,1.86,"Cement, sand and gravel (construction), sand and gravel (industrial), stone (crushed), zinc."
MCS2024,2023_estimated,Texas,,9750,1,9.31,"Cement, lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2024,2023_estimated,Utah,,3140,11,3,"Cement (portland), copper, gold, potash, salt."
MCS2024,2023_estimated,Vermont,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",160,45,0.15,"Sand and gravel (construction), stone (crushed), stone (dimension), talc (crude)."
MCS2024,2023_estimated,Virginia,,1590,23,1.52,"Cement, lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
