Source,Country,Type,Prod_t_est_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
MCS2024,United States,"Rare earths, mine production, rare-earth-oxide equivalent, metric tons",42000.0,43000.0,,1800000.0,"Reserves for Australia, Russia, Thailand, and the United States were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Australia,"Rare earths, mine production, rare-earth-oxide equivalent, metric tons",18000.0,18000.0,,5700000.0,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 3.3 million tons. Reserves for Australia, Russia, Thailand, and the United States were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Brazil,"Rare earths, mine production, rare-earth-oxide equivalent, metric tons",80.0,80.0,,21000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Burma,"Rare earths, mine production, rare-earth-oxide equivalent, metric tons",12000.0,38000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Canada,"Rare earths, mine production, rare-earth-oxide equivalent, metric tons",0.0,0.0,,830000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,"Rare earths, mine production, rare-earth-oxide equivalent, metric tons",210000.0,240000.0,Production quota; does not include undocumented production.,44000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Greenland,"Rare earths, mine production, rare-earth-oxide equivalent, metric tons",0.0,0.0,,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,India,"Rare earths, mine production, rare-earth-oxide equivalent, metric tons",2900.0,2900.0,,6900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Madagascar,"Rare earths, mine production, rare-earth-oxide equivalent, metric tons",960.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Malaysia,"Rare earths, mine production, rare-earth-oxide equivalent, metric tons",80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Rare earths, mine production, rare-earth-oxide equivalent, metric tons",2600.0,2600.0,,10000000.0,"Reserves for Australia, Russia, Thailand, and the United States were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,South Africa,"Rare earths, mine production, rare-earth-oxide equivalent, metric tons",0.0,0.0,,790000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Tanzania,"Rare earths, mine production, rare-earth-oxide equivalent, metric tons",0.0,0.0,,890000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Thailand,"Rare earths, mine production, rare-earth-oxide equivalent, metric tons",7100.0,7100.0,,4500.0,"Reserves for Australia, Russia, Thailand, and the United States were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Vietnam,"Rare earths, mine production, rare-earth-oxide equivalent, metric tons",1200.0,600.0,,22000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Rare earths, mine production, rare-earth-oxide equivalent, metric tons",300000.0,350000.0,,110000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
