Source,Country,Type,Prod_t_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
MCS2024,United States,"Mine production, lithium content",W,W,,1100000.0,"Reserves for Argentina, Australia, Brazil, China, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,
MCS2024,Argentina,"Mine production, lithium content",6590,9600,,3600000.0,"Reserves for Argentina, Australia, Brazil, China, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,
MCS2024,Australia,"Mine production, lithium content",74700,86000,,6200000.0,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 4.8 million tons. Reserves for Argentina, Australia, Brazil, China, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,
MCS2024,Brazil,"Mine production, lithium content",2630,4900,Also estimated in 2022,390000.0,"Reserves for Argentina, Australia, Brazil, China, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,
MCS2024,Canada,"Mine production, lithium content",520,3400,Also estimated in 2022,930000.0,,,,,,,,,,,,,
MCS2024,Chile,"Mine production, lithium content",38000,44000,,9300000.0,"Reserves for Argentina, Australia, Brazil, China, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,
MCS2024,China,"Mine production, lithium content",22600,33000,Also estimated in 2022,3000000.0,,,,,,,,,,,,,
MCS2024,Portugal,"Mine production, lithium content",380,380,Also estimated in 2022,60000.0,,,,,,,,,,,,,
MCS2024,Zimbabwe,"Mine production, lithium content",1030,3400,Also estimated in 2022,310000.0,,,,,,,,,,,,,
MCS2024,Other countries6,"Mine production, lithium content",0,0,,2800000.0,"Reserves for Argentina, Australia, Brazil, China, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,
MCS2024,World total (rounded),"Mine production, lithium content",146000,180000,Excludes U.S. production.,28000000.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
