Source,Country,Type,Prod_t_est_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
MCS2024,United States,"Mine production, tungsten content",0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Australia,"Mine production, tungsten content",200.0,800.0,,570000.0,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 210,000 tons.  Reserves for Australia, China, Portugal, Spain, Vietnam, and “Other countries” were revised based on academic, company, and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Austria,"Mine production, tungsten content",910.0,910.0,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Bolivia,"Mine production, tungsten content",1360.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,"Mine production, tungsten content",66000.0,63000.0,,2300000.0," Reserves for Australia, China, Portugal, Spain, Vietnam, and “Other countries” were revised based on academic, company, and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,"Korea, North","Mine production, tungsten content",1520.0,1700.0,,29000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Portugal,"Mine production, tungsten content",500.0,500.0,,4000.0," Reserves for Australia, China, Portugal, Spain, Vietnam, and “Other countries” were revised based on academic, company, and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Mine production, tungsten content",2000.0,2000.0,,400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Rwanda,"Mine production, tungsten content",1400.0,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Spain,"Mine production, tungsten content",800.0,1500.0,,66000.0," Reserves for Australia, China, Portugal, Spain, Vietnam, and “Other countries” were revised based on academic, company, and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Vietnam,"Mine production, tungsten content",4000.0,3500.0,,74000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries,"Mine production, tungsten content",1080.0,1100.0,,950000.0," Reserves for Australia, China, Portugal, Spain, Vietnam, and “Other countries” were revised based on academic, company, and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Mine production, tungsten content",79800.0,78000.0,,4400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
